what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1257870925529
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1257870925529
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257870925529
os,sysinfo,,,"win32",1257870925533
arch,sysinfo,,,"x86",1257870925533
ws,sysinfo,,,"win32",1257870925533
locale,sysinfo,,,"en_US",1257870925533
processors,sysinfo,,,"2",1257870925533
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1257870925533
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1257870925533
java.specification.name,sysinfo,,,"Java Platform API Specification",1257870925533
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257870925533
java.specification.version,sysinfo,,,"1.6",1257870925533
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257870925533
java.version,sysinfo,,,"1.6.0_15",1257870925533
java.vm.info,sysinfo,,,"mixed mode, sharing",1257870925533
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1257870925533
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257870925533
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257870925533
java.vm.specification.version,sysinfo,,,"1.0",1257870925533
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257870925533
java.vm.version,sysinfo,,,"14.1-b02",1257870925533
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257870962943
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1257870962987
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1257870963024
