what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1258747520443
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1258747520443
started,bundle,org.eclipse.mylyn.commons.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.commons.ui",1258747520444
started,bundle,org.eclipse.mylyn.context.core,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.core",1258747520445
started,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1258747520474
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.monitor.ui",1258747520475
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1258747520476
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1258747520477
os,sysinfo,,,"win32",1258747520488
arch,sysinfo,,,"x86",1258747520488
ws,sysinfo,,,"win32",1258747520488
locale,sysinfo,,,"en_US",1258747520488
processors,sysinfo,,,"2",1258747520488
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1258747520488
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1258747520488
java.specification.name,sysinfo,,,"Java Platform API Specification",1258747520488
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258747520488
java.specification.version,sysinfo,,,"1.6",1258747520489
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1258747520489
java.version,sysinfo,,,"1.6.0_15",1258747520489
java.vm.info,sysinfo,,,"mixed mode, sharing",1258747520489
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1258747520489
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1258747520489
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258747520489
java.vm.specification.version,sysinfo,,,"1.0",1258747520489
